MD,SGRC,SEXP,SESP,SEMP,TVD,TVDSS,BS,R(D)/RT,PHID,RHOBHC,NPHIHC,PHIECPX,PHITCPX,Sw/SXO,New_feat,K,PAY,NET,KTIM,MRP,T2LM,T2_DIST,T2LM_L,T2LM_G
1281.4,52.05,0.23,1.05,1.82,4203.94,4121.92,12.25,1.73,0.28,2.22,0.28,0.23,0.27,0.92823,3.14823,102.34,1,1,1403.43,0.25,,1.00E-08,93.935135,93.8568607
1281.5,57.3,0.21,1.02,1.65,4204.27,4122.25,12.25,1.54,0.3,2.19,0.28,0.21,0.27,0.93533,3.12533,63.7,0,1,2289.85,0.26,97.7691,0.000203339,97.7691,97.7691
1281.6,59.1,0.2,1,1.41,4204.6,4122.58,12.25,1.44,0.32,2.15,0.27,0.2,0.27,0.94134,3.09134,51.28,0,1,3176.28,0.26,78.799,0.000659575,78.799,78.799
1281.7,59,0.18,0.83,1.2,4204.93,4122.9,12.25,1.22,0.34,2.12,0.26,0.2,0.27,0.95788,3.07788,50.13,0,1,4062.71,0.26,,0.000993403,76.32588,76.28580232
1281.8,58.29,0.16,0.7,1.05,4205.25,4123.23,12.25,1.08,0.36,2.1,0.26,0.21,0.27,0.9695,3.0695,55.25,0,1,4949.13,0.27,73.85276,0.001223617,73.85276,73.85276
1281.9,54.38,0.15,0.67,1.18,4205.58,4123.56,12.25,1.13,0.36,2.09,0.26,0.22,0.27,0.96658,3.05658,84.47,0,1,4805.75,0.27,,0.001078894,83.70399,83.12226663
1282,51.9,0.14,0.71,1.3,4205.91,4123.89,12.25,1.34,0.37,2.08,0.27,0.23,0.28,0.95112,3.03112,108.91,0,1,4192.76,0.27,93.55522,0.000719876,93.55522,93.55522
1282.1,52.54,0.14,0.76,1.42,4206.24,4124.22,12.25,1.46,0.37,2.08,0.27,0.23,0.28,0.94317,3.02317,100.45,0,1,3579.76,0.26,,0.00038421,87.798625,87.60970361
1282.2,54.01,0.15,0.86,1.63,4206.57,4124.54,12.25,1.59,0.37,2.08,0.27,0.22,0.27,0.93538,3.01538,83.74,0,1,2966.76,0.26,82.04203,5.71E-05,82.04203,82.04203
1282.3,54.08,0.16,0.84,1.56,4206.89,4124.87,12.25,1.5,0.38,2.07,0.27,0.22,0.27,0.94246,3.01246,77.67,0,1,2414.74,0.26,,1.00E-08,92.027065,91.48376779
1282.4,53.11,0.16,0.72,1.27,4207.22,4125.2,12.25,1.19,0.37,2.08,0.27,0.22,0.27,0.96632,3.04632,81.22,0,1,2332.89,0.26,102.0121,1.00E-08,102.0121,102.0121
1282.5,54.37,0.16,0.64,1.05,4207.55,4125.53,12.25,1.03,0.34,2.12,0.27,0.22,0.27,0.97904,3.09904,73.53,0,1,2251.04,0.27,,0.001289234,96.447035,96.28634696
1282.6,54.87,0.16,0.58,0.91,4207.88,4125.86,12.25,0.92,0.34,2.12,0.26,0.22,0.27,0.98937,3.10937,71.38,0,1,2169.19,0.27,90.88197,0.002669491,90.88197,90.88197
1282.7,54.47,0.15,0.56,0.81,4208.21,4126.19,12.25,0.88,0.36,2.1,0.26,0.22,0.27,0.99376,3.09376,75.01,0,1,2087.34,0.27,,0.002803107,89.553605,89.54375252
1282.8,53.85,0.13,0.51,0.75,4208.53,4126.51,12.25,0.8,0.34,2.12,0.26,0.22,0.27,1,3.12,79.96,0,1,1985.33,0.28,88.22524,0.002751638,88.22524,88.22524
