MD,SGRC,SEXP,SESP,SEMP,TVD,TVDSS,BS,R(D)/RT,PHID,RHOBHC,NPHIHC,PHIECPX,PHITCPX,Sw/SXO,New_feat,K,PAY,NET,KTIM,MRP,T2LM,T2_DIST,T2LM_L,T2LM_G
1271.9,53.82,1.04,6.23,17.29,4172.78,4090.75,12.25,20.91,0.33,2.14,0.24,0.23,0.28,0.7204,2.8604,98.17,1,1,9697.55,0.28,146.5435,1.00E-08,146.5435,146.5435
1272,53.16,1.03,6.89,20.36,4173.1,4091.08,12.25,23.87,0.32,2.15,0.25,0.23,0.29,0.70995,2.85995,111.6,1,1,10121.58,0.28,,1.00E-08,133.4475,132.803351
1272.1,51.36,1.06,7.12,22.51,4173.43,4091.41,12.25,25.04,0.32,2.16,0.25,0.24,0.28,0.70817,2.86817,125.45,1,1,10545.6,0.28,120.3515,1.00E-08,120.3515,120.3515
1272.2,51.08,1.09,7.41,23.75,4173.76,4091.74,12.25,26.77,0.32,2.16,0.25,0.24,0.28,0.70347,2.86347,129.27,1,1,10969.63,0.28,,1.00E-08,133.9548,133.2622928
1272.3,52.57,1.09,6.96,21.24,4174.09,4092.07,12.25,23.55,0.32,2.15,0.26,0.24,0.29,0.7085,2.8585,135.6,1,1,10974.59,0.28,147.5581,1.00E-08,147.5581,147.5581
1272.4,54.42,1.08,6.49,18.05,4174.42,4092.4,12.25,20.4,0.32,2.15,0.26,0.23,0.29,0.71857,2.86857,111.12,1,1,10798.93,0.28,,0.000569772,121.55297,118.7386109
1272.5,55.72,1.09,6.27,17.67,4174.74,4092.72,12.25,21.42,0.32,2.15,0.26,0.23,0.29,0.71495,2.86495,96.33,1,1,10623.27,0.28,95.54784,0.001212521,95.54784,95.54784
1272.6,57.94,1.13,6.67,18.79,4175.07,4093.05,12.25,24.41,0.32,2.15,0.26,0.22,0.29,0.70543,2.85543,74.84,1,1,10447.6,0.28,,0.001327128,83.909035,83.09792039
1272.7,58.47,1.18,7.33,21.49,4175.4,4093.38,12.25,28.43,0.32,2.16,0.26,0.21,0.28,0.69608,2.85608,64.67,1,1,10195.68,0.28,72.27023,0.001366801,72.27023,72.27023
1272.8,57.74,1.21,8.24,25.61,4175.73,4093.71,12.25,30.91,0.31,2.17,0.26,0.21,0.28,0.69175,2.86175,64.86,1,1,9418.59,0.28,,0.000619124,93.348065,90.9372647
1272.9,56.64,1.25,8.67,27.31,4176.06,4094.04,12.25,32.08,0.31,2.18,0.26,0.21,0.28,0.69071,2.87071,67.92,1,1,8641.49,0.27,114.4259,4.49E-05,114.4259,114.4259
1273,54.49,1.29,8.84,28.71,4176.38,4094.36,12.25,32.06,0.29,2.2,0.25,0.21,0.27,0.69635,2.89635,64.08,1,1,7864.4,0.27,,0.000307323,116.11875,116.1064096
1273.1,53,1.33,9.33,29.65,4176.71,4094.69,12.25,33.02,0.29,2.21,0.24,0.21,0.26,0.69851,2.90851,60.94,1,1,7087.31,0.26,117.8116,0.000705656,117.8116,117.8116
1273.2,51.91,1.36,9.34,26.82,4177.04,4095.02,12.25,30.33,0.29,2.21,0.23,0.21,0.26,0.70721,2.91721,60.18,1,1,6125.99,0.26,,0.001478603,107.34584,106.8344384
1273.3,51.45,1.37,8.63,21.76,4177.37,4095.35,12.25,26.1,0.29,2.21,0.22,0.21,0.25,0.72066,2.93066,55.14,1,1,5016.85,0.26,96.88008,0.001607439,96.88008,96.88008
1273.4,49.84,1.37,8.11,18.97,4177.7,4095.68,12.25,24.6,0.29,2.2,0.22,0.22,0.26,0.7235,2.9235,72.45,1,1,3907.71,0.26,,0.000595592,101.27579,101.1803507
1273.5,47.09,1.39,8.34,16.17,4178.02,4096,12.25,23.21,0.29,2.2,0.22,0.23,0.26,0.72794,2.92794,98.73,1,1,2798.57,0.26,105.6715,3.48E-05,105.6715,105.6715
1273.6,45.04,1.43,8.49,15.02,4178.35,4096.33,12.25,23.04,0.3,2.19,0.22,0.24,0.26,0.72691,2.91691,132.77,1,1,1689.43,0.26,106.1037,1.08E-05,106.1037,106.1037
1273.7,44.25,1.53,8.63,15.18,4178.68,4096.66,12.25,22.88,0.31,2.18,0.22,0.25,0.27,0.7258,2.9058,155.11,1,1,1719.97,0.26,,0.000438024,95.4481,94.85145219
1273.8,44.61,1.59,8.73,15.29,4179.01,4096.99,12.25,22.76,0.31,2.17,0.22,0.25,0.27,0.7246,2.8946,160.88,1,1,1770.45,0.26,84.7925,0.001234414,84.7925,84.7925
1273.9,48.17,1.66,8.56,15.04,4179.34,4097.32,12.25,22.78,0.31,2.17,0.22,0.23,0.27,0.72443,2.89443,110.75,1,1,1820.93,0.27,,0.001436369,93.51575,93.10800399
1274,46.15,1.72,8.61,14.75,4179.67,4097.64,12.25,22.9,0.31,2.17,0.22,0.24,0.27,0.72414,2.89414,137.19,1,1,1871.42,0.27,102.239,0.001312985,102.239,102.239
1274.1,44.26,1.73,8.95,15.18,4179.99,4097.97,12.25,22.52,0.31,2.18,0.23,0.25,0.27,0.72424,2.90424,175.23,1,1,1912.54,0.27,,0.000814869,109.47075,109.2316204
